"Date Time","p (mbar)","T (degC)","Tpot (K)","Tdew (degC)","rh (%)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","sh (g/kg)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","max. wv (m/s)","wd (deg)","rain (mm)","raining (s)","SWDR (W/m²)","PAR (µmol/m²/s)","max. PAR (µmol/m²/s)","Tlog (degC)","CO2 (ppm)"
01.07.2023 00:10:00,  984.99,   15.21,  289.61,   15.19,   99.90,   17.31,   17.29,    0.02,   10.99,   17.56, 1182.04,    1.02,    1.32,  208.10,    0.00,    0.00,    0.00,    0.00,    0.00,   27.10,  450.30
01.07.2023 00:20:00,  985.00,   15.03,  289.43,   15.03,  100.00,   17.11,   17.11,    0.00,   10.88,   17.37, 1182.88,    0.47,    1.11,  219.90,    0.00,    0.00,    0.00,    0.00,    0.00,   27.05,  451.00
01.07.2023 00:30:00,  984.98,   14.86,  289.26,   14.64,   98.60,   16.92,   16.69,    0.24,   10.61,   16.94, 1183.74,    1.06,    1.77,  226.70,    0.00,    0.00,    0.00,    0.00,    0.00,   26.97,  439.40
01.07.2023 00:40:00,  984.91,   14.91,  289.32,   14.47,   97.20,   16.98,   16.50,    0.48,   10.49,   16.76, 1183.54,    1.29,    1.89,  242.10,    0.00,    0.00,    0.00,    0.00,    0.00,   26.87,  438.20
01.07.2023 00:50:00,  984.92,   14.77,  289.17,   14.46,   98.00,   16.83,   16.49,    0.34,   10.48,   16.74, 1184.13,    1.45,    2.06,  238.60,    0.00,    0.00,    0.00,    0.00,    0.00,   26.73,  440.00
01.07.2023 01:00:00,  984.93,   14.52,  288.92,   14.41,   99.30,   16.56,   16.44,    0.12,   10.45,   16.69, 1185.20,    2.27,    2.56,  239.90,    0.00,    0.00,    0.00,    0.00,    0.00,   26.59,  448.10
01.07.2023 01:10:00,  984.94,   14.21,  288.61,   14.21,  100.00,   16.23,   16.23,    0.00,   10.31,   16.48, 1186.58,    2.33,    2.69,  235.90,    0.00,    0.00,    0.00,    0.00,    0.00,   26.43,  451.40
01.07.2023 01:20:00,  984.94,   14.08,  288.48,   14.06,   99.90,   16.09,   16.08,    0.02,   10.22,   16.32, 1187.19,    2.32,    2.72,  229.20,    0.00,    0.00,    0.00,    0.00,    0.00,   26.26,  442.70
01.07.2023 01:30:00,  984.83,   14.19,  288.60,   14.02,   98.90,   16.21,   16.03,    0.18,   10.19,   16.28, 1186.62,    1.98,    2.59,  233.00,    0.00,    0.00,    0.00,    0.00,    0.00,   26.07,  439.50
01.07.2023 01:40:00,  984.73,   14.13,  288.55,   13.94,   98.80,   16.14,   15.95,    0.19,   10.14,   16.20, 1186.79,    1.91,    2.18,  235.60,    0.00,    0.00,    0.00,    0.00,    0.00,   25.87,  436.60
01.07.2023 01:50:00,  984.69,   14.06,  288.48,   13.75,   98.00,   16.07,   15.75,    0.32,   10.01,   15.99, 1187.12,    1.90,    2.37,  233.70,    0.00,    0.00,    0.00,    0.00,    0.00,   25.68,  435.10
01.07.2023 02:00:00,  984.63,   13.69,  288.11,   13.58,   99.30,   15.69,   15.58,    0.11,    9.90,   15.82, 1188.66,    2.21,    2.68,  225.80,    0.00,    0.00,    0.00,    0.00,    0.00,   25.49,  441.20
01.07.2023 02:10:00,  984.56,   13.60,  288.03,   13.41,   98.80,   15.60,   15.41,    0.19,    9.79,   15.65, 1189.02,    2.58,    3.28,  232.80,    0.00,    0.00,    0.00,    0.00,    0.00,   25.30,  440.70
01.07.2023 02:20:00,  984.55,   13.72,  288.15,   13.36,   97.70,   15.72,   15.36,    0.36,    9.76,   15.60, 1188.54,    1.88,    2.50,  229.70,    0.00,    0.00,    0.00,    0.00,    0.00,   25.11,  438.00
01.07.2023 02:30:00,  984.50,   13.61,  288.04,   13.27,   97.80,   15.61,   15.26,    0.34,    9.70,   15.50, 1188.98,    1.03,    1.71,  250.50,    0.00,    0.00,    0.00,    0.00,    0.00,   24.92,  436.80
01.07.2023 02:40:00,  984.51,   13.24,  287.67,   13.13,   99.30,   15.24,   15.13,    0.11,    9.61,   15.37, 1190.59,    1.52,    1.99,  251.70,    0.00,    0.00,    0.00,    0.00,    0.00,   24.77,  439.60
01.07.2023 02:50:00,  984.52,   12.89,  287.32,   12.89,  100.00,   14.89,   14.89,    0.00,    9.46,   15.12, 1192.16,    0.79,    2.02,  230.20,    0.00,    0.00,    0.00,    0.00,    0.00,   24.62,  443.50
01.07.2023 03:00:00,  984.42,   12.86,  287.30,   12.86,  100.00,   14.86,   14.86,    0.00,    9.44,   15.10, 1192.18,    0.84,    1.69,  232.50,    0.00,    0.00,    0.00,    0.00,    0.00,   24.50,  451.90
01.07.2023 03:10:00,  984.33,   12.83,  287.27,   12.83,  100.00,   14.83,   14.83,    0.00,    9.43,   15.07, 1192.21,    0.51,    0.97,  256.50,    0.00,    0.00,    0.00,    0.00,    0.00,   24.42,  457.80
01.07.2023 03:20:00,  984.23,   12.81,  287.26,   12.81,  100.00,   14.81,   14.81,    0.00,    9.41,   15.05, 1192.18,    0.83,    1.23,  223.00,    0.00,    0.00,    0.00,    0.00,    0.00,   24.38,  458.00
01.07.2023 03:30:00,  984.16,   12.69,  287.15,   12.69,  100.00,   14.70,   14.70,    0.00,    9.34,   14.93, 1192.65,    0.85,    1.46,  201.30,    0.00,    0.00,    0.00,    0.00,    0.00,   24.39,  457.60
01.07.2023 03:40:00,  984.12,   12.50,  286.96,   12.50,  100.00,   14.51,   14.51,    0.00,    9.22,   14.75, 1193.48,    0.57,    1.02,  196.00,    0.00,    0.00,    0.00,    0.00,    0.00,   24.41,  454.80
01.07.2023 03:50:00,  984.08,   12.28,  286.74,   12.28,  100.00,   14.31,   14.31,    0.00,    9.09,   14.54, 1194.45,    1.18,    1.58,  231.30,    0.00,    0.00,    0.00,    1.20,    2.10,   24.43,  450.40
01.07.2023 04:00:00,  984.05,   11.89,  286.35,   11.89,  100.00,   13.94,   13.94,    0.00,    8.86,   14.17, 1196.21,    1.62,    2.18,  231.20,    0.00,    0.00,    0.00,    3.09,    4.38,   24.42,  449.60
01.07.2023 04:10:00,  984.02,   11.80,  286.27,   11.80,  100.00,   13.86,   13.86,    0.00,    8.81,   14.08, 1196.59,    1.16,    1.73,  232.20,    0.00,    0.00,    1.42,    5.58,    7.01,   24.37,  449.40
01.07.2023 04:20:00,  983.99,   11.74,  286.21,   11.74,  100.00,   13.80,   13.80,    0.00,    8.77,   14.03, 1196.83,    1.24,    2.21,  225.00,    0.00,    0.00,    4.23,    9.38,   12.46,   24.29,  451.20
01.07.2023 04:30:00,  983.96,   11.73,  286.20,   11.73,  100.00,   13.80,   13.80,    0.00,    8.77,   14.02, 1196.84,    1.26,    2.01,  206.60,    0.00,    0.00,    7.95,   16.18,   20.35,   24.23,  451.40
01.07.2023 04:40:00,  984.00,   11.68,  286.15,   11.68,  100.00,   13.75,   13.75,    0.00,    8.74,   13.97, 1197.12,    1.01,    1.60,  220.20,    0.00,    0.00,   13.18,   26.57,   31.35,   24.18,  452.20
01.07.2023 04:50:00,  984.01,   11.62,  286.09,   11.62,  100.00,   13.70,   13.70,    0.00,    8.70,   13.92, 1197.41,    1.30,    1.96,  215.10,    0.00,    0.00,   18.57,   36.49,   41.73,   24.15,  453.40
01.07.2023 05:00:00,  984.02,   11.60,  286.06,   11.60,  100.00,   13.68,   13.68,    0.00,    8.69,   13.90, 1197.52,    1.19,    1.91,  215.30,    0.00,    0.00,   27.90,   53.83,   61.66,   24.13,  454.00
01.07.2023 05:10:00,  984.03,   11.52,  285.98,   11.52,  100.00,   13.61,   13.61,    0.00,    8.64,   13.83, 1197.90,    1.55,    2.12,  214.60,    0.00,    0.00,   40.72,   76.88,   92.81,   24.13,  453.40
01.07.2023 05:20:00,  984.05,   11.44,  285.90,   11.44,  100.00,   13.53,   13.53,    0.00,    8.60,   13.75, 1198.29,    1.50,    2.15,  209.40,    0.00,    0.00,   54.27,  103.82,  131.12,   24.14,  453.70
01.07.2023 05:30:00,  984.00,   11.50,  285.97,   11.50,  100.00,   13.59,   13.59,    0.00,    8.63,   13.81, 1197.95,    0.93,    1.83,  192.20,    0.00,    0.00,   72.95,  136.99,  148.61,   24.15,  453.80
01.07.2023 05:40:00,  983.91,   11.61,  286.08,   11.61,  100.00,   13.69,   13.69,    0.00,    8.70,   13.91, 1197.33,    1.64,    2.97,  181.00,    0.00,    0.00,   80.78,  156.99,  201.35,   24.19,  455.70
01.07.2023 05:50:00,  983.87,   11.71,  286.19,   11.71,  100.00,   13.78,   13.78,    0.00,    8.76,   14.00, 1196.82,    1.73,    2.61,  166.40,    0.00,    0.00,  115.09,  220.10,  266.72,   24.25,  455.60
01.07.2023 06:00:00,  983.81,   11.83,  286.31,   11.83,  100.00,   13.89,   13.89,    0.00,    8.83,   14.12, 1196.19,    2.56,    3.64,  157.00,    0.00,   70.00,  115.95,  229.17,  262.60,   24.32,  453.50
01.07.2023 06:10:00,  983.75,   11.98,  286.47,   11.98,  100.00,   14.03,   14.03,    0.00,    8.92,   14.26, 1195.43,    1.95,    3.49,  181.90,    0.00,    0.00,  123.06,  228.97,  256.18,   24.38,  454.90
01.07.2023 06:20:00,  983.72,   12.35,  286.84,   12.35,  100.00,   14.37,   14.37,    0.00,    9.14,   14.61, 1193.68,    1.44,    2.26,  154.70,    0.00,    0.00,  159.53,  285.53,  415.86,   24.44,  455.80
01.07.2023 06:30:00,  983.70,   12.83,  287.33,   12.83,  100.00,   14.83,   14.83,    0.00,    9.43,   15.08, 1191.44,    2.28,    3.43,  168.00,    0.00,    0.00,  230.69,  408.93,  572.64,   24.57,  454.80
01.07.2023 06:40:00,  983.69,   13.37,  287.87,   13.37,  100.00,   15.37,   15.37,    0.00,    9.77,   15.62, 1188.94,    1.92,    3.12,  168.40,    0.00,    0.00,  256.95,  465.05,  539.15,   24.80,  453.40
01.07.2023 06:50:00,  983.63,   14.15,  288.66,   13.82,   97.90,   16.17,   15.83,    0.34,   10.07,   16.09, 1185.43,    1.65,    3.06,  176.20,    0.00,    0.00,  305.69,  553.61,  602.00,   25.11,  453.50
01.07.2023 07:00:00,  983.53,   14.78,  289.30,   13.66,   93.00,   16.84,   15.66,    1.18,    9.96,   15.92, 1182.79,    2.08,    3.11,  154.20,    0.00,    0.00,  341.94,  618.92,  641.34,   25.53,  454.00
01.07.2023 07:10:00,  983.47,   15.19,  289.72,   13.83,   91.60,   17.29,   15.84,    1.45,   10.08,   16.10, 1180.95,    2.13,    3.37,  144.30,    0.00,    0.00,  350.17,  655.38,  675.51,   26.05,  451.70
01.07.2023 07:20:00,  983.34,   15.55,  290.09,   14.00,   90.50,   17.69,   16.01,    1.68,   10.19,   16.28, 1179.24,    1.99,    2.80,  155.30,    0.00,    0.00,  324.21,  616.90,  715.19,   26.62,  448.30
01.07.2023 07:30:00,  983.25,   16.14,  290.69,   14.17,   88.10,   18.37,   16.19,    2.19,   10.30,   16.46, 1176.65,    2.57,    3.71,  157.80,    0.00,    0.00,  387.37,  728.04,  773.91,   27.19,  442.70
01.07.2023 07:40:00,  983.14,   16.81,  291.37,   14.31,   85.20,   19.17,   16.34,    2.84,   10.40,   16.62, 1173.73,    2.38,    4.20,  165.60,    0.00,    0.00,  436.61,  814.69,  851.20,   27.73,  440.40
