Date Time,Pressure,Temperature,Vapor_pressure_deficit,Specific_humidity,Airtight,Wind_speed,wv (m/s)
2003-11-24,981.37,10.02,12.35,2.7,6.14,1202.85,0.0
2003-11-25,983.45,8.68,11.34,1.63,6.16,1211.14,0.0
2003-11-26,979.71,7.41,10.38,1.0,5.98,1212.11,0.0
2003-11-27,973.43,5.21,8.88,0.69,5.25,1214.37,0.0
2003-11-28,980.26,5.62,9.12,0.3,5.62,1220.78,0.67
2003-11-29,987.18,5.56,9.08,0.18,5.63,1229.66,1.72
2003-11-30,984.95,5.36,8.95,1.19,4.91,1228.31,3.32
2003-12-01,984.78,4.96,8.77,1.4,4.67,1230.08,2.09
2003-12-02,989.85,2.82,7.56,0.68,4.33,1246.27,0.75
2003-12-03,995.98,1.26,6.71,0.15,4.11,1261.23,0.87
2003-12-04,999.26,2.92,7.55,0.09,4.66,1257.34,2.29
2003-12-05,1000.38,2.69,7.42,0.44,4.35,1260.04,1.24
2003-12-06,994.48,3.22,7.76,1.78,3.75,1250.76,2.62
2003-12-07,1004.86,-1.68,5.43,1.01,2.74,1287.38,2.02
2003-12-08,1001.71,-3.9,4.66,0.79,2.41,1294.26,0.8
2003-12-09,995.57,-2.15,5.38,1.34,2.53,1278.02,0.87
2003-12-10,989.29,1.09,6.79,2.69,2.58,1254.92,2.05
2003-12-11,988.45,3.1,7.69,2.76,3.11,1244.15,3.15
2003-12-12,993.51,2.89,7.59,1.24,3.98,1250.84,2.67
2003-12-13,985.52,7.62,10.83,1.81,5.72,1218.91,5.72
2003-12-14,975.54,7.04,10.13,2.02,5.19,1209.17,3.85
2003-12-15,983.2,0.53,6.36,1.04,3.37,1248.92,3.64
2003-12-16,995.01,1.16,6.66,1.15,3.45,1260.95,2.69
2003-12-17,999.49,3.14,7.68,1.0,4.17,1257.05,1.49
2003-12-18,997.93,0.18,6.26,0.59,3.54,1269.19,1.33
2003-12-19,993.22,0.64,6.5,0.99,3.46,1261.22,1.9
2003-12-20,989.6,5.43,9.06,1.43,4.81,1233.98,3.19
2003-12-21,971.81,6.72,9.89,2.76,4.58,1206.34,6.55
2003-12-22,984.77,-0.53,5.93,0.78,3.26,1255.98,2.39
2003-12-23,999.58,-5.22,4.18,0.97,2.0,1298.13,1.87
2003-12-24,1004.0,-3.39,4.82,1.71,1.93,1295.1,2.24
2003-12-25,998.38,0.11,6.18,2.44,2.34,1270.98,2.9
2003-12-26,988.95,3.16,7.68,1.72,3.75,1243.99,2.98
2003-12-27,978.32,5.28,8.94,2.73,3.96,1221.15,4.33
2003-12-28,971.66,5.76,9.27,2.83,4.13,1210.61,3.67
2003-12-29,983.09,2.09,7.17,2.17,3.17,1241.96,2.91
2003-12-30,989.14,-2.61,5.1,0.76,2.73,1271.64,1.08
2003-12-31,996.14,-0.03,6.1,0.88,3.26,1268.03,2.58
2004-01-01,990.99,-2.03,5.28,0.71,2.87,1271.09,2.31
2004-01-02,991.37,-3.98,4.55,0.61,2.47,1281.11,2.59
2004-01-03,996.22,-5.2,4.16,0.75,2.14,1293.53,1.22
2004-01-04,988.68,-6.11,3.92,0.3,2.29,1288.09,1.61
2004-01-05,992.42,-3.07,4.96,0.49,2.82,1278.09,2.49
2004-01-06,993.28,-2.97,5.04,0.55,2.82,1278.78,3.06
2004-01-07,990.88,3.28,7.75,0.96,4.27,1245.49,1.43
2004-01-08,986.67,1.84,7.01,1.14,3.71,1247.13,2.8
2004-01-09,976.91,2.08,7.11,0.56,4.19,1233.35,1.95
2004-01-10,984.91,3.58,7.91,1.07,4.34,1236.57,2.62
2004-01-11,981.49,4.97,8.89,1.31,4.83,1226.01,3.03
2004-01-12,973.91,4.6,8.51,1.84,4.28,1218.32,2.93
2004-01-13,965.0,5.2,8.93,1.55,4.78,1204.35,2.97
2004-01-14,968.08,4.52,8.47,2.45,3.87,1211.72,3.87
2004-01-15,974.43,2.68,7.43,1.24,3.96,1227.72,2.5
2004-01-16,970.3,3.77,8.03,2.01,3.87,1217.78,5.35
2004-01-17,971.29,3.63,7.96,2.16,3.72,1219.74,2.93
2004-01-18,990.17,-0.45,5.92,0.9,3.16,1262.51,2.6
2004-01-19,984.91,-1.16,5.67,1.11,2.89,1259.38,4.85
2004-01-20,980.0,-0.32,5.98,0.67,3.38,1248.78,2.02
2004-01-21,991.43,-2.71,5.01,0.62,2.76,1274.95,1.32
2004-01-22,995.13,-4.95,4.25,0.68,2.23,1290.82,1.07
2004-01-23,993.81,-4.47,4.45,0.79,2.29,1286.84,1.76
2004-01-24,989.13,-4.01,4.57,1.26,2.09,1278.74,2.39
2004-01-25,984.91,0.37,6.37,0.85,3.49,1251.82,1.36
2004-01-26,980.53,-0.87,5.77,0.87,3.11,1252.17,1.0
2004-01-27,974.15,-4.3,4.44,0.57,2.48,1260.33,1.03
2004-01-28,972.42,-1.87,5.36,1.18,2.68,1246.75,2.44
2004-01-29,971.77,-0.33,5.97,1.68,2.75,1238.78,4.14
2004-01-30,983.81,0.99,6.57,2.29,2.71,1248.14,5.79
2004-01-31,982.15,4.31,8.52,3.3,3.31,1230.85,5.86
2004-02-01,985.68,9.65,12.04,4.03,5.07,1210.48,5.47
2004-02-02,991.97,9.03,11.54,1.88,6.07,1220.14,2.5
2004-02-03,1000.03,11.05,13.21,2.85,6.47,1221.01,3.06
2004-02-04,999.66,12.7,14.74,5.6,5.71,1214.06,4.76
2004-02-05,996.19,12.61,14.63,5.41,5.77,1210.18,3.95
2004-02-06,990.74,12.9,14.95,6.08,5.59,1202.51,4.64
2004-02-07,983.07,8.92,11.52,4.65,4.36,1210.99,5.17
2004-02-08,979.27,3.15,7.69,2.11,3.55,1232.04,5.0
2004-02-09,994.09,1.24,6.68,1.59,3.2,1259.66,3.51
2004-02-10,999.93,1.39,6.78,1.7,3.17,1266.38,3.26
2004-02-11,993.87,0.84,6.51,0.63,3.69,1260.87,2.56
2004-02-12,1004.42,-1.55,5.47,1.22,2.64,1286.23,1.02
2004-02-13,1002.51,3.76,8.07,0.9,4.46,1257.85,2.56
2004-02-14,997.96,5.88,9.29,1.3,5.0,1242.15,2.25
2004-02-15,996.04,4.28,8.31,1.04,4.56,1247.23,1.33
2004-02-16,1000.53,1.33,6.74,0.9,3.64,1267.05,1.45
2004-02-17,998.78,-0.1,6.11,0.53,3.49,1271.64,1.18
2004-02-18,992.88,2.36,7.28,1.62,3.55,1252.74,2.14
2004-02-19,997.62,-1.35,5.53,0.81,2.95,1276.35,3.91
2004-02-20,999.56,-0.84,5.82,2.24,2.23,1277.08,3.84
2004-02-21,989.8,-0.66,5.94,2.09,2.43,1263.71,1.1
2004-02-22,979.03,0.95,6.57,2.12,2.83,1242.16,1.22
2004-02-23,984.19,-0.75,5.79,1.6,2.65,1256.6,1.87
2004-02-24,987.16,-0.41,5.98,2.63,2.12,1259.33,2.46
2004-02-25,978.49,0.04,6.15,1.8,2.77,1245.67,3.66
2004-02-26,974.46,-0.95,5.73,1.48,2.72,1245.1,1.62
2004-02-27,972.44,-2.35,5.23,1.53,2.36,1249.3,1.12
2004-02-28,976.98,-1.73,5.46,1.78,2.35,1252.2,1.73
2004-02-29,989.57,-3.25,4.85,0.99,2.43,1275.4,2.07
2004-03-01,999.87,-1.31,5.58,1.44,2.58,1279.35,3.18
2004-03-02,998.24,2.02,7.11,0.93,3.86,1260.82,3.0
2004-03-03,1000.02,2.28,7.2,1.55,3.52,1262.12,2.47
2004-03-04,1000.15,-0.18,6.05,2.05,2.49,1274.48,2.49
2004-03-05,997.76,-1.78,5.45,2.25,2.0,1279.37,2.33
2004-03-06,991.13,-2.43,5.15,1.35,2.39,1273.57,2.93
2004-03-07,993.75,1.85,7.04,2.4,2.91,1256.68,2.07
2004-03-08,999.56,0.12,6.18,1.67,2.82,1272.04,2.04
2004-03-09,1000.51,-0.88,5.73,0.84,3.05,1277.75,2.39
2004-03-10,996.35,-0.38,5.95,0.27,3.55,1269.71,2.67
2004-03-11,994.02,1.31,6.77,1.54,3.28,1259.2,2.26
2004-03-12,990.85,3.6,8.13,2.91,3.28,1244.98,2.42
2004-03-13,992.16,7.12,10.22,3.49,4.23,1230.1,2.58
2004-03-14,999.79,7.44,10.49,2.59,4.93,1237.68,3.03
2004-03-15,1002.5,10.03,12.44,4.09,5.2,1229.43,4.08
2004-03-16,1004.22,10.36,12.97,3.63,5.81,1229.81,2.54
2004-03-17,1001.9,11.56,14.98,6.56,5.25,1222.8,1.87
2004-03-18,996.7,11.93,14.67,5.34,5.85,1214.05,1.02
2004-03-19,990.23,12.98,15.05,6.18,5.59,1201.56,5.23
2004-03-20,981.82,11.28,13.52,3.72,6.24,1198.06,6.57
2004-03-21,977.04,9.19,11.75,4.09,4.89,1202.0,5.06
2004-03-22,981.44,6.55,9.81,3.42,4.06,1219.41,4.11
2004-03-23,985.83,3.89,8.27,2.2,3.84,1236.92,2.23
2004-03-24,985.36,4.84,8.66,2.49,3.9,1231.88,4.45
2004-03-25,988.94,2.06,7.11,2.29,3.03,1249.53,3.19
2004-03-26,991.02,-0.37,5.97,1.77,2.64,1263.58,1.83
2004-03-27,990.68,0.47,6.46,2.25,2.65,1259.42,1.02
2004-03-28,992.29,3.57,8.24,3.4,3.04,1247.17,1.28
2004-03-29,995.38,5.22,9.43,4.33,3.19,1243.69,1.52
2004-03-30,994.27,7.06,10.71,4.95,3.61,1233.91,2.38
2004-03-31,988.84,7.75,10.99,5.09,3.72,1223.89,1.84
2004-04-01,988.23,8.88,11.86,4.99,4.33,1217.77,1.74
2004-04-02,987.99,11.22,14.0,5.77,5.2,1206.9,1.72
2004-04-03,992.82,10.83,13.34,5.11,5.18,1214.26,2.14
2004-04-04,992.14,8.59,11.4,3.36,5.06,1223.14,3.45
2004-04-05,985.29,7.16,10.28,3.03,4.58,1221.17,2.68
2004-04-06,975.88,5.67,9.2,2.42,4.34,1216.11,3.67
2004-04-07,978.35,4.24,8.37,1.96,4.09,1225.7,2.8
2004-04-08,983.39,4.26,8.32,1.48,4.34,1231.68,2.36
2004-04-09,987.25,4.23,8.33,1.3,4.44,1236.58,1.43
2004-04-10,986.02,5.78,9.42,2.1,4.62,1228.18,1.38
2004-04-11,992.24,5.9,9.43,3.31,3.85,1235.9,2.02
2004-04-12,996.96,5.6,9.29,2.48,4.26,1242.85,2.1
2004-04-13,995.19,7.43,10.35,2.31,5.04,1231.86,2.33
2004-04-14,995.83,9.65,12.17,5.68,4.06,1223.75,1.67
2004-04-15,993.34,10.41,13.75,7.3,4.05,1218.09,2.22
2004-04-16,988.89,11.74,14.53,7.44,4.48,1206.37,1.52
2004-04-17,978.99,12.37,15.3,7.54,4.95,1191.45,1.37
2004-04-18,969.54,13.61,15.97,6.56,6.06,1173.68,2.38
2004-04-19,971.68,9.08,11.61,2.85,5.63,1195.33,1.44
2004-04-20,981.25,10.83,13.33,5.91,4.72,1200.42,2.23
2004-04-21,988.8,12.48,15.18,6.41,5.54,1202.27,1.54
2004-04-22,988.41,15.05,18.13,8.02,6.39,1190.6,1.52
2004-04-23,992.13,10.31,12.66,1.73,6.89,1214.26,1.47
2004-04-24,996.6,8.54,11.21,2.85,5.24,1228.59,2.35
2004-04-25,999.4,9.5,12.04,4.02,5.01,1228.1,2.72
2004-04-26,996.06,9.91,12.51,3.27,5.8,1221.75,1.39
2004-04-27,988.88,11.58,14.15,4.98,5.79,1205.95,1.75
2004-04-28,984.69,13.32,16.04,7.24,5.58,1193.77,2.0
2004-04-29,979.45,14.04,16.55,5.62,6.97,1183.34,2.56
2004-04-30,975.41,16.65,19.62,8.4,7.19,1167.68,3.24
2004-05-01,977.19,14.9,17.39,5.59,7.55,1176.56,1.55
2004-05-02,981.06,12.8,14.9,3.26,7.42,1189.85,2.2
2004-05-03,978.62,11.69,14.4,4.07,6.59,1192.45,1.76
2004-05-04,968.21,14.75,17.35,5.22,7.83,1166.29,2.26
2004-05-05,963.21,11.5,13.61,1.42,7.91,1173.15,1.21
2004-05-06,965.41,9.27,11.72,0.65,7.17,1185.68,2.16
2004-05-07,967.45,6.87,9.97,0.82,5.91,1199.3,3.9
2004-05-08,974.74,9.12,11.75,3.21,5.47,1199.08,3.35
2004-05-09,977.81,8.74,11.4,2.51,5.68,1204.29,1.33
2004-05-10,983.19,12.99,15.24,3.94,7.18,1191.92,2.3
2004-05-11,988.44,13.27,15.4,3.35,7.62,1196.72,2.11
2004-05-12,989.6,10.2,12.55,2.42,6.39,1212.02,1.44
2004-05-13,990.48,9.16,11.68,1.84,6.2,1217.67,2.35
2004-05-14,996.04,10.91,13.18,3.17,6.28,1216.93,1.27
2004-05-15,997.85,11.67,13.94,2.85,6.94,1215.48,1.94
2004-05-16,999.15,11.93,14.12,4.36,6.1,1216.51,1.78
2004-05-17,998.7,12.62,14.97,4.3,6.67,1212.7,1.15
2004-05-18,996.11,15.36,18.15,6.59,7.25,1197.81,1.31
2004-05-19,994.8,16.6,19.66,9.02,6.68,1191.51,2.0
2004-05-20,992.46,15.08,17.35,6.23,7.0,1194.49,1.81
2004-05-21,989.35,9.35,11.81,1.31,6.62,1215.13,1.84
2004-05-22,993.58,7.58,10.55,3.69,4.31,1229.83,2.1
2004-05-23,993.74,6.97,10.09,2.96,4.47,1232.5,2.93
2004-05-24,996.8,8.13,11.04,3.57,4.67,1231.18,2.02
2004-05-25,993.39,11.69,13.85,4.83,5.67,1210.77,1.84
2004-05-26,991.9,10.23,12.57,3.86,5.48,1215.37,1.26
2004-05-27,995.48,9.13,11.97,4.27,4.83,1225.18,1.45
2004-05-28,999.23,10.83,13.37,4.44,5.57,1221.83,1.38
2004-05-29,1000.06,13.24,16.07,7.31,5.47,1212.9,1.51
2004-05-30,995.94,16.16,19.53,10.44,5.7,1195.65,1.57
2004-05-31,991.75,14.84,17.19,6.04,7.02,1194.69,1.53
2004-06-01,990.91,12.83,14.91,2.21,8.01,1201.23,1.52
2004-06-02,991.3,13.46,15.64,2.7,8.16,1199.02,1.98
2004-06-03,995.04,16.66,19.3,7.96,7.11,1191.03,2.96
2004-06-04,992.69,13.65,15.94,3.39,7.9,1200.13,0.99
2004-06-05,988.26,12.11,14.16,1.76,7.84,1201.17,1.41
2004-06-06,993.31,15.43,17.83,4.51,8.39,1193.1,1.07
2004-06-07,994.59,18.1,21.92,8.45,8.47,1183.97,1.43
2004-06-08,994.34,20.74,25.66,10.58,9.49,1172.28,1.48
2004-06-09,993.22,20.65,25.29,6.64,11.76,1169.62,1.8
2004-06-10,992.55,20.5,24.64,5.54,12.06,1169.08,1.5
2004-06-11,990.04,19.26,22.6,6.2,10.37,1172.16,1.94
2004-06-12,990.97,14.72,16.87,4.47,7.82,1193.56,2.23
2004-06-13,998.44,14.11,16.25,3.58,7.93,1205.03,1.77
2004-06-14,1000.89,16.43,19.17,7.02,7.59,1198.73,1.73
2004-06-15,990.8,18.37,21.78,7.01,9.33,1177.58,2.03
2004-06-16,990.42,12.93,15.06,5.38,6.1,1201.63,2.42
2004-06-17,984.13,15.2,17.99,6.26,7.45,1183.98,3.77
