Date Time,Pressure,Temperature,Vapor_pressure_deficit,Specific_humidity,Airtight,Wind_speed,wv (m/s)
1/1/2010,969.66,-3.83,4.6,0.24,2.81,1252.03,2.4
1/2/2010,985.28,-5.11,4.2,0.36,2.43,1278.67,1.71
1/3/2010,990.55,-4.7,4.34,0.32,2.53,1283.47,1.36
1/4/2010,989.17,-6.13,3.87,0.36,2.21,1288.75,1.5
1/5/2010,981.65,-10.26,2.86,0.47,1.51,1299.74,0.78
1/6/2010,976.74,-9.03,3.1,0.47,1.68,1286.95,0.85
1/7/2010,983.09,-8.35,3.29,0.53,1.75,1291.98,1.02
1/8/2010,989.78,-9.69,2.95,0.27,1.69,1307.41,3.75
1/9/2010,984.81,-5.32,4.11,0.38,2.36,1279.02,5.65
1/10/2010,985.38,-5.18,4.15,0.31,2.43,1279.05,3.27
1/11/2010,989.24,-6.73,3.68,0.37,2.09,1291.83,1.79
1/12/2010,990.11,-6.86,3.67,0.45,2.03,1293.66,1.13
1/13/2010,984.27,-9.43,3.13,0.46,1.69,1299.13,1.01
1/14/2010,984.53,-2.34,5.16,0.8,2.76,1264.34,1.81
1/15/2010,995.07,-2.1,5.24,0.82,2.77,1276.71,1.42
1/16/2010,995.27,-2.71,5.01,0.79,2.64,1279.93,2.71
1/17/2010,986.21,-0.04,6.14,0.44,3.6,1255.21,2.27
1/18/2010,996.17,2.25,7.2,1.06,3.84,1257.12,1.15
1/19/2010,994.6,0.76,6.46,0.26,3.89,1261.92,0.86
1/20/2010,990.91,-0.22,6.03,0.23,3.65,1261.97,1.6
1/21/2010,996.7,-6.01,3.91,0.33,2.24,1297.98,2.99
1/22/2010,1000.64,-6.49,3.76,0.53,2.01,1305.57,1.92
1/23/2010,999.14,-5.83,3.96,0.64,2.07,1300.36,2.17
1/24/2010,998.75,-5.6,4.02,0.85,1.98,1298.81,2.86
1/25/2010,1001.54,-5.59,4.04,0.84,1.99,1302.39,2.63
1/26/2010,1009.68,-11.84,2.48,0.48,1.23,1345.08,2.13
1/27/2010,998.4,-11.24,2.8,0.86,1.21,1327.75,2.73
1/28/2010,973.32,-0.54,5.91,1.15,3.05,1241.5,3.24
1/29/2010,961.34,0.03,6.13,1.18,3.21,1223.5,3.73
1/30/2010,963.31,-2.18,5.22,1.21,2.6,1236.5,2.07
1/31/2010,975.73,-4.67,4.37,0.92,2.2,1264.39,2.1
2/1/2010,980.69,-2.28,5.18,1.25,2.5,1259.3,4.01
2/2/2010,982.04,-1.87,5.42,1.33,2.6,1259.23,4.97
2/3/2010,979.84,0.57,6.4,1.44,3.16,1244.67,3.23
2/4/2010,988.49,0.27,6.39,0.92,3.45,1256.95,1.83
2/5/2010,983.8,-0.68,5.83,1.01,3.06,1255.47,2.25
2/6/2010,986.19,-0.03,6.11,0.91,3.29,1255.33,1.17
2/7/2010,993.92,-4.96,4.26,0.56,2.32,1289.25,2.71
2/8/2010,987.06,-7.05,3.6,0.61,1.89,1290.67,2.06
2/9/2010,979.68,-6.85,3.66,0.95,1.72,1280.19,1.78
2/10/2010,980.19,-6.7,3.7,0.68,1.91,1280,1.77
2/11/2010,982.34,-6.44,3.77,0.42,2.13,1281.39,3.98
2/12/2010,985.34,-3.69,4.65,0.52,2.61,1271.8,1.81
2/13/2010,987.79,-4.79,4.29,0.77,2.22,1280.51,1.37
2/14/2010,986.58,-4.8,4.31,0.94,2.13,1279.07,1.26
2/15/2010,982.9,-4.66,4.34,1.12,2.04,1273.69,1.81
2/16/2010,978.44,-5.63,4.06,1.06,1.9,1272.68,1.65
2/17/2010,971.72,-5.18,4.6,1.53,1.97,1262.47,1.32
2/18/2010,970.8,1.67,6.99,1.45,3.55,1227.97,2.9
2/19/2010,968.14,1.47,6.89,0.63,4.03,1225.19,1.1
2/20/2010,971.09,0.87,6.54,1.81,3.04,1232.24,2.96
2/21/2010,974.4,-0.28,6.02,1.25,3.05,1241.65,1.92
2/22/2010,968.51,2.46,7.44,1.7,3.7,1221.57,3.49
2/23/2010,967.86,3.83,8.18,1.29,4.44,1214.14,3.12
2/24/2010,974.28,2.88,7.72,0.78,4.44,1226.42,1.48
2/25/2010,973.29,5.85,9.45,2.53,4.43,1212.13,2.93
2/26/2010,967.46,6.73,9.91,2.56,4.74,1200.71,3.9
2/27/2010,976.78,4.96,8.8,3.12,3.62,1220.86,4.14
2/28/2010,964.58,7.89,10.93,4.89,3.91,1192.99,5.99
3/1/2010,978.22,4.17,8.28,2.66,3.59,1226.17,3.93
3/2/2010,991.57,1.76,6.98,2.41,2.87,1254.32,1.76
3/3/2010,994.21,1.22,6.75,2.54,2.63,1260.31,1.52
3/4/2010,990.31,-2.1,5.29,1.39,2.46,1270.89,1.67
3/5/2010,993.51,-3.32,4.8,1.88,1.83,1281.21,2.06
3/6/2010,990.4,-3.96,4.56,0.87,2.33,1279.86,4.73
3/7/2010,1003.76,-4.61,4.37,1.3,1.9,1300.6,1.82
3/8/2010,999.36,-3.96,4.58,1.07,2.19,1291.57,1.75
3/9/2010,999.57,-5.61,4.11,1.4,1.69,1300.32,2.4
3/10/2010,997.4,-2.8,5.1,2.11,1.87,1283.92,3.4
3/11/2010,990.24,-3.69,4.68,1.01,2.31,1278.42,2.73
3/12/2010,988.8,0.45,6.45,1.47,3.13,1256.68,1.89
3/13/2010,991.58,2.43,7.29,1.77,3.47,1250.79,2.56
3/14/2010,989.94,3.59,7.93,2.05,3.71,1243.33,3.2
3/15/2010,991.41,1.58,6.91,1.66,3.31,1254.63,2.62
3/16/2010,994.99,2.52,7.34,1.82,3.46,1254.67,1.62
3/17/2010,998.08,5.76,9.34,3.51,3.64,1243.93,2.72
3/18/2010,996.19,7.29,10.91,5.3,3.51,1235.3,1.77
3/19/2010,991.18,10.05,12.89,5.45,4.68,1216.08,3.15
3/20/2010,985.29,11.7,13.92,3.56,6.57,1200.22,4.76
3/21/2010,985.97,11.05,13.3,2.36,6.93,1203.53,3.22
3/22/2010,995.19,7.84,10.88,2.49,5.26,1230.01,1.02
3/23/2010,993.01,7.82,10.86,2.86,5.03,1227.59,1.08
